Buchungstag,Valuta,Belegnummer,Buchungstext,Gegenkonto,Betrag (EUR),Währung,Kunde/Lieferant,IBAN,Verwendungszweck
2024-09-04,2024-09-04,BNR-100026,Miete,69000,-1884.91,EUR,Cowork Space Berlin,DE12500105170648489890,Miete Cowork Space Berlin 2024-09
2025-04-13,2025-04-13,BNR-100027,Finanzamt Zahlung,17000,-1025.45,EUR,Finanzamt München,DE62500105170648482300,Finanzamt Zahlung Finanzamt München 2025-04
2024-03-20,2024-03-20,BNR-100028,Reisekosten,67600,-1974.05,EUR,Tom Berger,DE12500105170648489890,Reisekosten Tom Berger 2024-03
2024-06-05,2024-06-05,BNR-100029,Zahlungseingang,10000,3299.69,EUR,Industriepartner AG,DE75512108001245126199,Zahlungseingang Industriepartner AG 2024-06
2024-10-13,2024-10-13,BNR-100030,Strom,16000,-138.87,EUR,Adobe,DE12345678901234567890,Strom Adobe 2024-10
2024-11-23,2024-11-23,BNR-100031,Strom,16000,-614.54,EUR,SAP,DE62500105170648482300,Strom SAP 2024-11
2024-09-19,2024-09-19,BNR-100032,Finanzamt Zahlung,17000,-1821.83,EUR,Finanzamt Köln,DE44500105175407324931,Finanzamt Zahlung Finanzamt Köln 2024-09
2025-03-10,2025-03-10,BNR-100033,Softwarelizenz,48000,-243.78,EUR,Stromio Business,DE76543210987654321000,Softwarelizenz Stromio Business 2025-03
2024-05-10,2024-05-10,BNR-100034,Strom,16000,-834.29,EUR,Microsoft,DE44500105175407324931,Strom Microsoft 2024-05
2025-03-25,2025-03-25,BNR-100035,Miete,69000,-1262.41,EUR,Cowork Space Berlin,DE76543210987654321000,Miete Cowork Space Berlin 2025-03
2024-05-05,2024-05-05,BNR-100036,Finanzamt Erstattung,17000,1145.54,EUR,Finanzamt Berlin,DE12345678901234567890,Finanzamt Erstattung Finanzamt Berlin 2024-05
2024-02-29,2024-02-29,BNR-100037,Gehalt,60000,-3421.6,EUR,Lisa Schmidt,DE62500105170648482300,Gehalt Lisa Schmidt 2024-02
2024-04-09,2024-04-09,BNR-100038,Zahlungseingang,10000,5439.61,EUR,ACME GmbH,DE44500105175407324931,Zahlungseingang ACME GmbH 2024-04
2024-07-21,2024-07-21,BNR-100039,Miete,69000,-1383.4,EUR,Büropark Mitte GmbH,DE89370400440532013000,Miete Büropark Mitte GmbH 2024-07
2024-09-28,2024-09-28,BNR-100040,Finanzamt Zahlung,17000,-970.35,EUR,Finanzamt Berlin,DE12500105170648489890,Finanzamt Zahlung Finanzamt Berlin 2024-09
2025-03-07,2025-03-07,BNR-100041,Strom,16000,-218.77,EUR,AWS,DE16530601800000001900,Strom AWS 2025-03
2024-07-06,2024-07-06,BNR-100042,Softwarelizenz,48000,-275.39,EUR,Adobe,DE16530601800000001900,Softwarelizenz Adobe 2024-07
2024-09-22,2024-09-22,BNR-100043,Miete,69000,-1987.99,EUR,Büropark Mitte GmbH,DE44500105175407324931,Miete Büropark Mitte GmbH 2024-09
2025-02-14,2025-02-14,BNR-100044,Finanzamt Erstattung,17000,1236.31,EUR,Finanzamt Berlin,DE44500105175407324931,Finanzamt Erstattung Finanzamt Berlin 2025-02
2024-10-17,2024-10-17,BNR-100045,Softwarelizenz,48000,-300.82,EUR,Stromio Business,DE75512108001245126199,Softwarelizenz Stromio Business 2024-10
2025-04-06,2025-04-06,BNR-100046,Miete,69000,-1346.18,EUR,Büropark Mitte GmbH,DE62500105170648482300,Miete Büropark Mitte GmbH 2025-04
2025-01-10,2025-01-10,BNR-100047,Finanzamt Erstattung,17000,1085.5,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Erstattung Finanzamt Köln 2025-01
2024-11-07,2024-11-07,BNR-100048,Softwarelizenz,48000,-914.43,EUR,Stromio Business,DE89370400440532013000,Softwarelizenz Stromio Business 2024-11
2025-02-25,2025-02-25,BNR-100049,Reisekosten,67600,-1687.71,EUR,Tom Berger,DE12345678901234567890,Reisekosten Tom Berger 2025-02
2024-03-12,2024-03-12,BNR-100050,Finanzamt Zahlung,17000,-966.71,EUR,Finanzamt München,DE44500105175407324931,Finanzamt Zahlung Finanzamt München 2024-03
2025-04-30,2025-04-30,BNR-100051,Miete,69000,-1543.44,EUR,Cowork Space Berlin,DE12345678901234567890,Miete Cowork Space Berlin 2025-04
2024-04-14,2024-04-14,BNR-100052,Strom,16000,-697.98,EUR,Adobe,DE89370400440532013000,Strom Adobe 2024-04
2024-08-03,2024-08-03,BNR-100053,Softwarelizenz,48000,-998.82,EUR,Adobe,DE89370400440532013000,Softwarelizenz Adobe 2024-08
2024-09-05,2024-09-05,BNR-100054,Finanzamt Erstattung,17000,1641.73,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Erstattung Finanzamt Köln 2024-09
2024-07-30,2024-07-30,BNR-100055,Gehalt,60000,-2761.38,EUR,Tom Berger,DE89370400440532013000,Gehalt Tom Berger 2024-07
2024-02-10,2024-02-10,BNR-100056,Reisekosten,67600,-3277.59,EUR,Lisa Schmidt,DE12345678901234567890,Reisekosten Lisa Schmidt 2024-02
2024-06-17,2024-06-17,BNR-100057,Softwarelizenz,48000,-542.48,EUR,SAP,DE16530601800000001900,Softwarelizenz SAP 2024-06
2024-02-16,2024-02-16,BNR-100058,Reisekosten,67600,-1567.22,EUR,Tom Berger,DE44500105175407324931,Reisekosten Tom Berger 2024-02
2025-04-10,2025-04-10,BNR-100059,Finanzamt Erstattung,17000,1202.51,EUR,Finanzamt München,DE12345678901234567890,Finanzamt Erstattung Finanzamt München 2025-04
2025-03-10,2025-03-10,BNR-100060,Strom,16000,-237.38,EUR,AWS,DE62500105170648482300,Strom AWS 2025-03
2024-12-25,2024-12-25,BNR-100061,Softwarelizenz,48000,-790.17,EUR,Stromio Business,DE62500105170648482300,Softwarelizenz Stromio Business 2024-12
2025-02-15,2025-02-15,BNR-100062,Reisekosten,67600,-851.91,EUR,Tom Berger,DE62500105170648482300,Reisekosten Tom Berger 2025-02
2024-03-12,2024-03-12,BNR-100063,Finanzamt Erstattung,17000,825.29,EUR,Finanzamt München,DE76543210987654321000,Finanzamt Erstattung Finanzamt München 2024-03
2025-01-30,2025-01-30,BNR-100064,Finanzamt Erstattung,17000,1184.69,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Erstattung Finanzamt Köln 2025-01
2025-03-11,2025-03-11,BNR-100065,Strom,16000,-790.05,EUR,Stromio Business,DE76543210987654321000,Strom Stromio Business 2025-03
2025-04-13,2025-04-13,BNR-100066,Finanzamt Zahlung,17000,-1970.65,EUR,Finanzamt Köln,DE76543210987654321000,Finanzamt Zahlung Finanzamt Köln 2025-04
2024-12-10,2024-12-10,BNR-100067,Reisekosten,67600,-3381.59,EUR,Anna Weber,DE12345678901234567890,Reisekosten Anna Weber 2024-12
2024-08-18,2024-08-18,BNR-100068,Zahlungseingang,10000,4648.6,EUR,ACME GmbH,DE12500105170648489890,Zahlungseingang ACME GmbH 2024-08
2025-02-09,2025-02-09,BNR-100069,Finanzamt Zahlung,17000,-2643.66,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Zahlung Finanzamt Köln 2025-02
2025-03-21,2025-03-21,BNR-100070,Zahlungseingang,10000,7182.21,EUR,Industriepartner AG,DE44500105175407324931,Zahlungseingang Industriepartner AG 2025-03
2024-09-09,2024-09-09,BNR-100071,Softwarelizenz,48000,-539.81,EUR,Adobe,DE12500105170648489890,Softwarelizenz Adobe 2024-09
2024-10-04,2024-10-04,BNR-100072,Miete,69000,-1539.96,EUR,Cowork Space Berlin,DE76543210987654321000,Miete Cowork Space Berlin 2024-10
2024-08-04,2024-08-04,BNR-100073,Finanzamt Erstattung,17000,447.89,EUR,Finanzamt Köln,DE76543210987654321000,Finanzamt Erstattung Finanzamt Köln 2024-08
2024-11-26,2024-11-26,BNR-100074,Finanzamt Erstattung,17000,1645.09,EUR,Finanzamt Köln,DE44500105175407324931,Finanzamt Erstattung Finanzamt Köln 2024-11
2024-06-30,2024-06-30,BNR-100075,Softwarelizenz,48000,-482.36,EUR,AWS,DE75512108001245126199,Softwarelizenz AWS 2024-06
2025-04-17,2025-04-17,BNR-100076,Gehalt,60000,-2669.03,EUR,Tom Berger,DE76543210987654321000,Gehalt Tom Berger 2025-04
2024-02-09,2024-02-09,BNR-100077,Finanzamt Erstattung,17000,645.27,EUR,Finanzamt Berlin,DE12345678901234567890,Finanzamt Erstattung Finanzamt Berlin 2024-02
2024-12-20,2024-12-20,BNR-100078,Strom,16000,-125.25,EUR,AWS,DE75512108001245126199,Strom AWS 2024-12
2024-08-26,2024-08-26,BNR-100079,Finanzamt Zahlung,17000,-1104.28,EUR,Finanzamt München,DE76543210987654321000,Finanzamt Zahlung Finanzamt München 2024-08
2024-07-25,2024-07-25,BNR-100080,Zahlungseingang,10000,5779.16,EUR,Meyer & Co KG,DE44500105175407324931,Zahlungseingang Meyer & Co KG 2024-07
2025-02-26,2025-02-26,BNR-100081,Miete,69000,-1409.54,EUR,Büropark Mitte GmbH,DE62500105170648482300,Miete Büropark Mitte GmbH 2025-02
2024-07-25,2024-07-25,BNR-100082,Softwarelizenz,48000,-102.19,EUR,Microsoft,DE16530601800000001900,Softwarelizenz Microsoft 2024-07
2025-03-29,2025-03-29,BNR-100083,Finanzamt Erstattung,17000,537.01,EUR,Finanzamt Berlin,DE16530601800000001900,Finanzamt Erstattung Finanzamt Berlin 2025-03
2024-04-24,2024-04-24,BNR-100084,Miete,69000,-832.8,EUR,Cowork Space Berlin,DE16530601800000001900,Miete Cowork Space Berlin 2024-04
2024-02-21,2024-02-21,BNR-100085,Softwarelizenz,48000,-811.9,EUR,Adobe,DE12500105170648489890,Softwarelizenz Adobe 2024-02
2024-03-19,2024-03-19,BNR-100086,Reisekosten,67600,-668.41,EUR,Anna Weber,DE75512108001245126199,Reisekosten Anna Weber 2024-03
2024-09-27,2024-09-27,BNR-100087,Gehalt,60000,-1360.12,EUR,Anna Weber,DE12345678901234567890,Gehalt Anna Weber 2024-09
2024-06-18,2024-06-18,BNR-100088,Strom,16000,-410.69,EUR,Microsoft,DE76543210987654321000,Strom Microsoft 2024-06
2024-03-10,2024-03-10,BNR-100089,Finanzamt Zahlung,17000,-1015.63,EUR,Finanzamt Berlin,DE62500105170648482300,Finanzamt Zahlung Finanzamt Berlin 2024-03
2025-03-11,2025-03-11,BNR-100090,Finanzamt Zahlung,17000,-1814.56,EUR,Finanzamt Berlin,DE16530601800000001900,Finanzamt Zahlung Finanzamt Berlin 2025-03
2025-01-28,2025-01-28,BNR-100091,Miete,69000,-1860.66,EUR,Büropark Mitte GmbH,DE44500105175407324931,Miete Büropark Mitte GmbH 2025-01
2025-03-19,2025-03-19,BNR-100092,Gehalt,60000,-3022.01,EUR,Anna Weber,DE89370400440532013000,Gehalt Anna Weber 2025-03
2024-07-06,2024-07-06,BNR-100093,Strom,16000,-323.11,EUR,Stromio Business,DE12500105170648489890,Strom Stromio Business 2024-07
2025-04-19,2025-04-19,BNR-100094,Reisekosten,67600,-3303.61,EUR,Lisa Schmidt,DE12345678901234567890,Reisekosten Lisa Schmidt 2025-04
2024-05-25,2024-05-25,BNR-100095,Reisekosten,67600,-1348.9,EUR,Lisa Schmidt,DE12500105170648489890,Reisekosten Lisa Schmidt 2024-05
2025-04-18,2025-04-18,BNR-100096,Gehalt,60000,-668.28,EUR,Anna Weber,DE89370400440532013000,Gehalt Anna Weber 2025-04
2024-05-30,2024-05-30,BNR-100097,Reisekosten,67600,-2244.35,EUR,Lisa Schmidt,DE76543210987654321000,Reisekosten Lisa Schmidt 2024-05
2024-03-23,2024-03-23,BNR-100098,Strom,16000,-537.6,EUR,Adobe,DE12500105170648489890,Strom Adobe 2024-03
2025-03-19,2025-03-19,BNR-100099,Zahlungseingang,10000,6335.31,EUR,Meyer & Co KG,DE44500105175407324931,Zahlungseingang Meyer & Co KG 2025-03
2024-02-22,2024-02-22,BNR-100100,Finanzamt Zahlung,17000,-2860.42,EUR,Finanzamt Köln,DE12345678901234567890,Finanzamt Zahlung Finanzamt Köln 2024-02
2025-01-28,2025-01-28,BNR-100101,Gehalt,60000,-2268.52,EUR,Tom Berger,DE12500105170648489890,Gehalt Tom Berger 2025-01
2025-02-22,2025-02-22,BNR-100102,Softwarelizenz,48000,-649.74,EUR,AWS,DE75512108001245126199,Softwarelizenz AWS 2025-02
2024-04-13,2024-04-13,BNR-100103,Finanzamt Zahlung,17000,-2922.81,EUR,Finanzamt Köln,DE12345678901234567890,Finanzamt Zahlung Finanzamt Köln 2024-04
2024-03-06,2024-03-06,BNR-100104,Reisekosten,67600,-1070.14,EUR,Lisa Schmidt,DE89370400440532013000,Reisekosten Lisa Schmidt 2024-03
2024-09-26,2024-09-26,BNR-100105,Zahlungseingang,10000,6500.62,EUR,Kundenwelt GmbH,DE44500105175407324931,Zahlungseingang Kundenwelt GmbH 2024-09
2024-10-06,2024-10-06,BNR-100106,Miete,69000,-895.51,EUR,Cowork Space Berlin,DE62500105170648482300,Miete Cowork Space Berlin 2024-10
2024-09-12,2024-09-12,BNR-100107,Softwarelizenz,48000,-942.74,EUR,Microsoft,DE44500105175407324931,Softwarelizenz Microsoft 2024-09
2024-08-01,2024-08-01,BNR-100108,Softwarelizenz,48000,-145.2,EUR,Stromio Business,DE16530601800000001900,Softwarelizenz Stromio Business 2024-08
2024-11-02,2024-11-02,BNR-100109,Miete,69000,-1870.6,EUR,Büropark Mitte GmbH,DE12345678901234567890,Miete Büropark Mitte GmbH 2024-11
2025-04-12,2025-04-12,BNR-100110,Softwarelizenz,48000,-580.27,EUR,Microsoft,DE12500105170648489890,Softwarelizenz Microsoft 2025-04
2024-09-01,2024-09-01,BNR-100111,Finanzamt Erstattung,17000,1321.75,EUR,Finanzamt Berlin,DE89370400440532013000,Finanzamt Erstattung Finanzamt Berlin 2024-09
2024-08-14,2024-08-14,BNR-100112,Finanzamt Erstattung,17000,1080.81,EUR,Finanzamt Köln,DE89370400440532013000,Finanzamt Erstattung Finanzamt Köln 2024-08
2024-09-22,2024-09-22,BNR-100113,Finanzamt Erstattung,17000,1365.33,EUR,Finanzamt München,DE62500105170648482300,Finanzamt Erstattung Finanzamt München 2024-09
2024-06-11,2024-06-11,BNR-100114,Strom,16000,-378.46,EUR,AWS,DE16530601800000001900,Strom AWS 2024-06
2025-02-05,2025-02-05,BNR-100115,Zahlungseingang,10000,7197.2,EUR,ACME GmbH,DE12500105170648489890,Zahlungseingang ACME GmbH 2025-02
2024-12-12,2024-12-12,BNR-100116,Gehalt,60000,-1674.24,EUR,Lisa Schmidt,DE75512108001245126199,Gehalt Lisa Schmidt 2024-12
2024-02-11,2024-02-11,BNR-100117,Finanzamt Erstattung,17000,1754.77,EUR,Finanzamt München,DE44500105175407324931,Finanzamt Erstattung Finanzamt München 2024-02
2024-04-13,2024-04-13,BNR-100118,Gehalt,60000,-1254.73,EUR,Tom Berger,DE12345678901234567890,Gehalt Tom Berger 2024-04
2024-02-16,2024-02-16,BNR-100119,Reisekosten,67600,-2080.87,EUR,Tom Berger,DE62500105170648482300,Reisekosten Tom Berger 2024-02
2024-11-30,2024-11-30,BNR-100120,Finanzamt Zahlung,17000,-1160.41,EUR,Finanzamt München,DE76543210987654321000,Finanzamt Zahlung Finanzamt München 2024-11
2024-03-18,2024-03-18,BNR-100121,Gehalt,60000,-1265.04,EUR,Lisa Schmidt,DE12345678901234567890,Gehalt Lisa Schmidt 2024-03
2024-12-25,2024-12-25,BNR-100122,Reisekosten,67600,-1014.63,EUR,Anna Weber,DE89370400440532013000,Reisekosten Anna Weber 2024-12
2025-01-28,2025-01-28,BNR-100123,Reisekosten,67600,-1142.19,EUR,Anna Weber,DE62500105170648482300,Reisekosten Anna Weber 2025-01
2024-06-23,2024-06-23,BNR-100124,Miete,69000,-1196.47,EUR,Büropark Mitte GmbH,DE16530601800000001900,Miete Büropark Mitte GmbH 2024-06
2024-07-25,2024-07-25,BNR-100125,Strom,16000,-907.52,EUR,Stromio Business,DE75512108001245126199,Strom Stromio Business 2024-07
2025-02-14,2025-02-14,BNR-100126,Reisekosten,67600,-1700.68,EUR,Anna Weber,DE12500105170648489890,Reisekosten Anna Weber 2025-02
2025-01-25,2025-01-25,BNR-100127,Strom,16000,-227.41,EUR,Stromio Business,DE44500105175407324931,Strom Stromio Business 2025-01
2024-01-19,2024-01-19,BNR-100128,Finanzamt Erstattung,17000,1775.48,EUR,Finanzamt Köln,DE75512108001245126199,Finanzamt Erstattung Finanzamt Köln 2024-01
2024-11-04,2024-11-04,BNR-100129,Gehalt,60000,-863.72,EUR,Lisa Schmidt,DE75512108001245126199,Gehalt Lisa Schmidt 2024-11
2024-04-16,2024-04-16,BNR-100130,Softwarelizenz,48000,-223.42,EUR,Microsoft,DE75512108001245126199,Softwarelizenz Microsoft 2024-04
2024-02-18,2024-02-18,BNR-100131,Miete,69000,-842.43,EUR,Büropark Mitte GmbH,DE89370400440532013000,Miete Büropark Mitte GmbH 2024-02
2024-06-17,2024-06-17,BNR-100132,Reisekosten,67600,-2868.74,EUR,Anna Weber,DE89370400440532013000,Reisekosten Anna Weber 2024-06
2024-02-04,2024-02-04,BNR-100133,Finanzamt Zahlung,17000,-2905.96,EUR,Finanzamt München,DE89370400440532013000,Finanzamt Zahlung Finanzamt München 2024-02
2024-12-14,2024-12-14,BNR-100134,Finanzamt Erstattung,17000,1827.54,EUR,Finanzamt München,DE62500105170648482300,Finanzamt Erstattung Finanzamt München 2024-12
2024-04-12,2024-04-12,BNR-100135,Strom,16000,-264.94,EUR,SAP,DE89370400440532013000,Strom SAP 2024-04
2024-06-01,2024-06-01,BNR-100136,Strom,16000,-928.08,EUR,AWS,DE75512108001245126199,Strom AWS 2024-06
2024-06-20,2024-06-20,BNR-100137,Strom,16000,-357.56,EUR,SAP,DE12345678901234567890,Strom SAP 2024-06
2024-01-04,2024-01-04,BNR-100138,Gehalt,60000,-1127.26,EUR,Lisa Schmidt,DE76543210987654321000,Gehalt Lisa Schmidt 2024-01
2024-01-23,2024-01-23,BNR-100139,Reisekosten,67600,-1592.24,EUR,Lisa Schmidt,DE12500105170648489890,Reisekosten Lisa Schmidt 2024-01
2024-10-26,2024-10-26,BNR-100140,Strom,16000,-424.87,EUR,Adobe,DE75512108001245126199,Strom Adobe 2024-10
2025-01-20,2025-01-20,BNR-100141,Miete,69000,-1817.22,EUR,Cowork Space Berlin,DE76543210987654321000,Miete Cowork Space Berlin 2025-01
2024-01-03,2024-01-03,BNR-100142,Strom,16000,-705.35,EUR,Stromio Business,DE12500105170648489890,Strom Stromio Business 2024-01
2024-10-13,2024-10-13,BNR-100143,Finanzamt Erstattung,17000,777.97,EUR,Finanzamt Berlin,DE62500105170648482300,Finanzamt Erstattung Finanzamt Berlin 2024-10
2024-10-05,2024-10-05,BNR-100144,Strom,16000,-506.57,EUR,SAP,DE75512108001245126199,Strom SAP 2024-10
2024-07-11,2024-07-11,BNR-100145,Strom,16000,-380.47,EUR,SAP,DE16530601800000001900,Strom SAP 2024-07
2024-01-01,2024-01-01,BNR-100146,Miete,69000,-1884.0,EUR,Cowork Space Berlin,DE12345678901234567890,Miete Cowork Space Berlin 2024-01
2024-07-05,2024-07-05,BNR-100147,Strom,16000,-229.64,EUR,SAP,DE12345678901234567890,Strom SAP 2024-07
2024-06-16,2024-06-16,BNR-100148,Miete,69000,-1475.72,EUR,Cowork Space Berlin,DE89370400440532013000,Miete Cowork Space Berlin 2024-06
2024-02-13,2024-02-13,BNR-100149,Finanzamt Erstattung,17000,1585.45,EUR,Finanzamt Berlin,DE12345678901234567890,Finanzamt Erstattung Finanzamt Berlin 2024-02
2024-07-28,2024-07-28,BNR-100150,Strom,16000,-180.49,EUR,Adobe,DE76543210987654321000,Strom Adobe 2024-07
2024-07-06,2024-07-06,BNR-100151,Finanzamt Zahlung,17000,-1199.76,EUR,Finanzamt Berlin,DE62500105170648482300,Finanzamt Zahlung Finanzamt Berlin 2024-07
2025-01-05,2025-01-05,BNR-100152,Strom,16000,-509.66,EUR,Microsoft,DE76543210987654321000,Strom Microsoft 2025-01
2024-10-17,2024-10-17,BNR-100153,Gehalt,60000,-2375.14,EUR,Anna Weber,DE89370400440532013000,Gehalt Anna Weber 2024-10
2024-03-21,2024-03-21,BNR-100154,Strom,16000,-225.4,EUR,Microsoft,DE16530601800000001900,Strom Microsoft 2024-03
2024-10-21,2024-10-21,BNR-100155,Zahlungseingang,10000,2805.97,EUR,Industriepartner AG,DE76543210987654321000,Zahlungseingang Industriepartner AG 2024-10
2024-12-07,2024-12-07,BNR-100156,Finanzamt Zahlung,17000,-1744.34,EUR,Finanzamt Köln,DE44500105175407324931,Finanzamt Zahlung Finanzamt Köln 2024-12
2025-04-04,2025-04-04,BNR-100157,Finanzamt Erstattung,17000,687.24,EUR,Finanzamt Köln,DE62500105170648482300,Finanzamt Erstattung Finanzamt Köln 2025-04
2024-03-21,2024-03-21,BNR-100158,Softwarelizenz,48000,-674.76,EUR,SAP,DE75512108001245126199,Softwarelizenz SAP 2024-03
2024-01-04,2024-01-04,BNR-100159,Miete,69000,-1266.22,EUR,Cowork Space Berlin,DE44500105175407324931,Miete Cowork Space Berlin 2024-01
2025-01-10,2025-01-10,BNR-100160,Softwarelizenz,48000,-902.38,EUR,Stromio Business,DE16530601800000001900,Softwarelizenz Stromio Business 2025-01
2024-08-23,2024-08-23,BNR-100161,Softwarelizenz,48000,-588.4,EUR,Adobe,DE12500105170648489890,Softwarelizenz Adobe 2024-08
2024-12-09,2024-12-09,BNR-100162,Finanzamt Zahlung,17000,-1765.99,EUR,Finanzamt München,DE44500105175407324931,Finanzamt Zahlung Finanzamt München 2024-12
2024-11-26,2024-11-26,BNR-100163,Softwarelizenz,48000,-127.84,EUR,Stromio Business,DE89370400440532013000,Softwarelizenz Stromio Business 2024-11
2024-04-12,2024-04-12,BNR-100164,Miete,69000,-900.21,EUR,Büropark Mitte GmbH,DE16530601800000001900,Miete Büropark Mitte GmbH 2024-04
2024-08-24,2024-08-24,BNR-100165,Reisekosten,67600,-856.18,EUR,Tom Berger,DE75512108001245126199,Reisekosten Tom Berger 2024-08
2025-04-28,2025-04-28,BNR-100166,Miete,69000,-984.66,EUR,Cowork Space Berlin,DE62500105170648482300,Miete Cowork Space Berlin 2025-04
2025-04-28,2025-04-28,BNR-100167,Softwarelizenz,48000,-969.55,EUR,Adobe,DE62500105170648482300,Softwarelizenz Adobe 2025-04
2024-05-25,2024-05-25,BNR-100168,Zahlungseingang,10000,2392.26,EUR,ACME GmbH,DE12345678901234567890,Zahlungseingang ACME GmbH 2024-05
2024-11-22,2024-11-22,BNR-100169,Softwarelizenz,48000,-431.61,EUR,Stromio Business,DE12500105170648489890,Softwarelizenz Stromio Business 2024-11
2024-11-22,2024-11-22,BNR-100170,Softwarelizenz,48000,-719.08,EUR,Stromio Business,DE12345678901234567890,Softwarelizenz Stromio Business 2024-11
2024-06-06,2024-06-06,BNR-100171,Softwarelizenz,48000,-811.36,EUR,Adobe,DE89370400440532013000,Softwarelizenz Adobe 2024-06
2024-05-19,2024-05-19,BNR-100172,Finanzamt Zahlung,17000,-2917.54,EUR,Finanzamt Berlin,DE44500105175407324931,Finanzamt Zahlung Finanzamt Berlin 2024-05
2024-03-02,2024-03-02,BNR-100173,Strom,16000,-557.77,EUR,AWS,DE76543210987654321000,Strom AWS 2024-03
2024-07-07,2024-07-07,BNR-100174,Gehalt,60000,-1817.9,EUR,Tom Berger,DE75512108001245126199,Gehalt Tom Berger 2024-07
2024-02-04,2024-02-04,BNR-100175,Strom,16000,-531.73,EUR,SAP,DE89370400440532013000,Strom SAP 2024-02
