Buchungstag,Valuta,Belegnummer,Buchungstext,Gegenkonto,Betrag (EUR),Währung,Kunde/Lieferant,IBAN,Verwendungszweck
2024-12-09,2024-12-09,BNR-100052,Zahlungseingang,10000,4761.74,EUR,Industriepartner AG,DE12345678901234567890,Zahlungseingang Industriepartner AG 2024-12
2024-12-16,2024-12-16,BNR-100053,Reisekosten,67600,-1489.57,EUR,Anna Weber,DE44500105175407324931,Reisekosten Anna Weber 2024-12
2024-08-04,2024-08-04,BNR-100054,Gehalt,60000,-973.07,EUR,Tom Berger,DE76543210987654321000,Gehalt Tom Berger 2024-08
2025-04-28,2025-04-28,BNR-100055,Softwarelizenz,48000,-873.65,EUR,Stromio Business,DE75512108001245126199,Softwarelizenz Stromio Business 2025-04
2025-01-08,2025-01-08,BNR-100056,Gehalt,60000,-615.76,EUR,Anna Weber,DE76543210987654321000,Gehalt Anna Weber 2025-01
2024-11-02,2024-11-02,BNR-100057,Gehalt,60000,-2977.52,EUR,Anna Weber,DE75512108001245126199,Gehalt Anna Weber 2024-11
2024-04-12,2024-04-12,BNR-100058,Gehalt,60000,-1079.41,EUR,Anna Weber,DE89370400440532013000,Gehalt Anna Weber 2024-04
2024-06-19,2024-06-19,BNR-100059,Finanzamt Erstattung,17000,1244.9,EUR,Finanzamt München,DE12500105170648489890,Finanzamt Erstattung Finanzamt München 2024-06
2024-03-10,2024-03-10,BNR-100060,Finanzamt Zahlung,17000,-1060.03,EUR,Finanzamt München,DE76543210987654321000,Finanzamt Zahlung Finanzamt München 2024-03
2024-01-23,2024-01-23,BNR-100061,Strom,16000,-401.14,EUR,SAP,DE62500105170648482300,Strom SAP 2024-01
2024-06-11,2024-06-11,BNR-100062,Finanzamt Zahlung,17000,-2638.58,EUR,Finanzamt Köln,DE89370400440532013000,Finanzamt Zahlung Finanzamt Köln 2024-06
2024-01-11,2024-01-11,BNR-100063,Finanzamt Erstattung,17000,301.48,EUR,Finanzamt München,DE12500105170648489890,Finanzamt Erstattung Finanzamt München 2024-01
2024-07-10,2024-07-10,BNR-100064,Strom,16000,-889.39,EUR,SAP,DE12345678901234567890,Strom SAP 2024-07
2024-12-20,2024-12-20,BNR-100065,Reisekosten,67600,-1575.36,EUR,Tom Berger,DE62500105170648482300,Reisekosten Tom Berger 2024-12
2024-05-15,2024-05-15,BNR-100066,Softwarelizenz,48000,-440.15,EUR,Microsoft,DE62500105170648482300,Softwarelizenz Microsoft 2024-05
2024-08-01,2024-08-01,BNR-100067,Reisekosten,67600,-3699.25,EUR,Tom Berger,DE75512108001245126199,Reisekosten Tom Berger 2024-08
2025-02-07,2025-02-07,BNR-100068,Finanzamt Erstattung,17000,1004.63,EUR,Finanzamt München,DE12345678901234567890,Finanzamt Erstattung Finanzamt München 2025-02
2024-03-08,2024-03-08,BNR-100069,Softwarelizenz,48000,-385.79,EUR,SAP,DE12345678901234567890,Softwarelizenz SAP 2024-03
2024-05-19,2024-05-19,BNR-100070,Softwarelizenz,48000,-476.09,EUR,Stromio Business,DE16530601800000001900,Softwarelizenz Stromio Business 2024-05
2024-06-27,2024-06-27,BNR-100071,Softwarelizenz,48000,-950.56,EUR,AWS,DE89370400440532013000,Softwarelizenz AWS 2024-06
2024-11-24,2024-11-24,BNR-100072,Strom,16000,-667.31,EUR,Adobe,DE16530601800000001900,Strom Adobe 2024-11
2025-04-09,2025-04-09,BNR-100073,Strom,16000,-784.14,EUR,Adobe,DE76543210987654321000,Strom Adobe 2025-04
2024-10-31,2024-10-31,BNR-100074,Finanzamt Zahlung,17000,-856.01,EUR,Finanzamt Köln,DE89370400440532013000,Finanzamt Zahlung Finanzamt Köln 2024-10
2024-09-12,2024-09-12,BNR-100075,Finanzamt Zahlung,17000,-796.19,EUR,Finanzamt Berlin,DE89370400440532013000,Finanzamt Zahlung Finanzamt Berlin 2024-09
2025-04-25,2025-04-25,BNR-100076,Softwarelizenz,48000,-503.12,EUR,AWS,DE16530601800000001900,Softwarelizenz AWS 2025-04
2024-11-27,2024-11-27,BNR-100077,Gehalt,60000,-1121.08,EUR,Anna Weber,DE16530601800000001900,Gehalt Anna Weber 2024-11
2024-06-09,2024-06-09,BNR-100078,Finanzamt Erstattung,17000,1688.35,EUR,Finanzamt Köln,DE16530601800000001900,Finanzamt Erstattung Finanzamt Köln 2024-06
2024-05-17,2024-05-17,BNR-100079,Strom,16000,-655.13,EUR,AWS,DE12500105170648489890,Strom AWS 2024-05
2024-09-03,2024-09-03,BNR-100080,Finanzamt Erstattung,17000,941.89,EUR,Finanzamt Berlin,DE12345678901234567890,Finanzamt Erstattung Finanzamt Berlin 2024-09
2024-09-28,2024-09-28,BNR-100081,Finanzamt Erstattung,17000,1291.9,EUR,Finanzamt Köln,DE89370400440532013000,Finanzamt Erstattung Finanzamt Köln 2024-09
2024-04-19,2024-04-19,BNR-100082,Reisekosten,67600,-3209.48,EUR,Lisa Schmidt,DE76543210987654321000,Reisekosten Lisa Schmidt 2024-04
2024-09-22,2024-09-22,BNR-100083,Finanzamt Zahlung,17000,-894.06,EUR,Finanzamt München,DE62500105170648482300,Finanzamt Zahlung Finanzamt München 2024-09
2024-10-28,2024-10-28,BNR-100084,Miete,69000,-1499.89,EUR,Cowork Space Berlin,DE12345678901234567890,Miete Cowork Space Berlin 2024-10
2025-02-18,2025-02-18,BNR-100085,Miete,69000,-1013.27,EUR,Büropark Mitte GmbH,DE16530601800000001900,Miete Büropark Mitte GmbH 2025-02
2025-01-28,2025-01-28,BNR-100086,Finanzamt Zahlung,17000,-1644.32,EUR,Finanzamt München,DE12500105170648489890,Finanzamt Zahlung Finanzamt München 2025-01
2025-04-25,2025-04-25,BNR-100087,Miete,69000,-973.24,EUR,Cowork Space Berlin,DE12345678901234567890,Miete Cowork Space Berlin 2025-04
2024-09-20,2024-09-20,BNR-100088,Finanzamt Erstattung,17000,938.73,EUR,Finanzamt Berlin,DE12345678901234567890,Finanzamt Erstattung Finanzamt Berlin 2024-09
2024-09-16,2024-09-16,BNR-100089,Strom,16000,-862.62,EUR,Microsoft,DE89370400440532013000,Strom Microsoft 2024-09
2024-05-26,2024-05-26,BNR-100090,Reisekosten,67600,-636.88,EUR,Anna Weber,DE44500105175407324931,Reisekosten Anna Weber 2024-05
2025-04-30,2025-04-30,BNR-100091,Finanzamt Erstattung,17000,213.59,EUR,Finanzamt München,DE62500105170648482300,Finanzamt Erstattung Finanzamt München 2025-04
2025-03-15,2025-03-15,BNR-100092,Finanzamt Erstattung,17000,1843.53,EUR,Finanzamt Berlin,DE89370400440532013000,Finanzamt Erstattung Finanzamt Berlin 2025-03
2024-12-30,2024-12-30,BNR-100093,Gehalt,60000,-2488.3,EUR,Lisa Schmidt,DE75512108001245126199,Gehalt Lisa Schmidt 2024-12
2025-03-22,2025-03-22,BNR-100094,Finanzamt Erstattung,17000,584.11,EUR,Finanzamt Köln,DE76543210987654321000,Finanzamt Erstattung Finanzamt Köln 2025-03
2024-05-13,2024-05-13,BNR-100095,Finanzamt Zahlung,17000,-1675.54,EUR,Finanzamt Berlin,DE76543210987654321000,Finanzamt Zahlung Finanzamt Berlin 2024-05
2024-08-10,2024-08-10,BNR-100096,Miete,69000,-1833.43,EUR,Cowork Space Berlin,DE44500105175407324931,Miete Cowork Space Berlin 2024-08
2025-02-20,2025-02-20,BNR-100097,Finanzamt Zahlung,17000,-2627.83,EUR,Finanzamt Köln,DE89370400440532013000,Finanzamt Zahlung Finanzamt Köln 2025-02
2024-01-21,2024-01-21,BNR-100098,Strom,16000,-102.45,EUR,Adobe,DE12500105170648489890,Strom Adobe 2024-01
2024-11-12,2024-11-12,BNR-100099,Softwarelizenz,48000,-988.17,EUR,Stromio Business,DE62500105170648482300,Softwarelizenz Stromio Business 2024-11
